departmentName,mainOfficeLocation,numberOfStudents
International Economics,Noyes Lab 2302,1470
Theoretical Economics,Veterinary Medicine Basic Sciences Building 1427,3866
International Music,Business Instructional Facility 2358,2626
Department of Anthropology,Materials Science and Engineering Building 2338,340
International Anthropology,Altgeld Hall 2144,1827
Applied Mechanical Engineering,Materials Science and Engineering Building 3211,2620
Advanced Aerospace Engineering,Art and Design Building 3933,4613
Comparative Literature Research,Noyes Lab 3443,1006
Advanced Women's Studies,Nuclear Engineering Lab 3183,858
International Computer Engineering,Ceramics Building 3088,2150
Biology,Gregory Hall 2639,2158
Advanced Dance,Turner Hall 2091,2218
Theoretical Comparative Literature,Gregory Hall 3887,1585
International English,Materials Science and Engineering Building 2386,1450
School of Anthropology,Noyes Lab 1902,2929
School of Sociology,Business Instructional Facility 2648,112
Department of Dance,English Building 429,1057
Astronomy Education,Ceramics Building 2067,4571
Mathematics Studies,Illini Union 3788,709
International Comparative Literature,Turner Hall 3129,4157
Advanced Mechanical Engineering,Grainger Library 2419,1352
Advanced Bioengineering,Turner Hall 534,2251
Geography Studies,Ceramics Building 2341,4053
Theoretical Computer Engineering,Speech and Hearing Science Building 653,2647
Biochemistry and Related Fields,Altgeld Hall 237,2108
Dance and Related Fields,Natural History Building 2102,2685
Applied Music,Foellinger Auditorium 529,3591
School of Chemical Engineering,English Building 3289,441
Theoretical Finance,Digital Computer Lab 3453,3102
Advanced Electrical Engineering,Smith Memorial Hall 2323,2632
Theoretical Sociology,Business Instructional Facility 3800,1438
Advanced Political Science,Architecture Building 2305,355
Dance Studies,Krannert Art Museum 340,1017
Music Studies,Illini Union 3463,1019
Art and Design and Related Fields,Gregory Hall 3298,1018
Department of Geography,Mechanical Engineering Lab 1342,2537
Communication Education,Psychology Building 604,4715
Journalism Research,Grainger Library 1147,4744
School of Comparative Literature,Stock Pavilion 1049,1113
Applied Women's Studies,Digital Computer Lab 1900,1261
School of Nuclear Engineering,Krannert Art Museum 835,2872
Women's Studies Studies,Gregory Hall 1367,2223
Economics Research,Henry Administration Building 637,1111
School of Mechanical Engineering,Noyes Lab 2719,1726
Theoretical Dance,Stock Pavilion 893,3084
English and Related Fields,Noyes Lab 106,350
Department of Biochemistry,Grainger Library 3717,4210
Statistics Research,Everitt Lab 1385,2032
Theoretical Psychology,Architecture Building 1686,1201
Theoretical History,Siebel Center 1140,3323
Computer Engineering Studies,Speech and Hearing Science Building 2155,2194
Applied Psychology,Gregory Hall 1070,1281
Department of Linguistics,Mechanical Engineering Lab 2814,4003
International Political Science,Illini Union 438,4501
Civil Engineering and Related Fields,Everitt Lab 3811,2081
Atmospheric Sciences Education,Ceramics Building 3076,1646
Theoretical Anthropology,Davenport Hall 2033,785
Theoretical Geography,Smith Memorial Hall 1323,4129
Applied Chemical Engineering,English Building 3214,2412
International Communication,Natural History Building 1695,707
Sociology Education,Foreign Languages Building 3512,1461
Theoretical Chemical Engineering,Architecture Building 3524,3817
Aerospace Engineering Studies,Lincoln Hall 2607,912
Philosophy Education,Illini Union 179,2701
Bioengineering and Related Fields,Speech and Hearing Science Building 2235,739
Advanced Atmospheric Sciences,Ceramics Building 3988,4701
Anthropology and Related Fields,Smith Memorial Hall 29,1381
Linguistics and Related Fields,Lincoln Hall 267,1221
Theoretical Mechanical Engineering,Siebel Center 85,3799
English Studies,Siebel Center 2267,558
Women's Studies Research,Mechanical Engineering Lab 3500,1262
Aerospace Engineering Education,Veterinary Medicine Basic Sciences Building 3555,4449
Department of Civil Engineering,Smith Memorial Hall 1378,4081
Applied Linguistics,Architecture Building 1683,4853
International Industrial Engineering,Altgeld Hall 3801,3706
International Materials Science,Speech and Hearing Science Building 214,3101
Communication Studies,Siebel Center 777,2589
School of Bioengineering,Altgeld Hall 1627,4026
Physics Studies,Altgeld Hall 2229,4342
School of Communication,Davenport Hall 3265,2796
Bioengineering Education,Chemical and Life Sciences Lab 861,931
Advanced History,English Building 1460,1975
Theoretical Music,Psychology Building 3403,3255
Theatre and Related Fields,Turner Hall 3183,4620
Department of Astronomy,Natural History Building 3183,3182
Music Education,Architecture Building 1389,4482
Applied Statistics,Chemical and Life Sciences Lab 2654,650
Theoretical Astronomy,Altgeld Hall 1975,838
Journalism Education,Krannert Art Museum 3248,1972
Theoretical Bioengineering,Chemical and Life Sciences Lab 248,1213
Food Science Research,Grainger Library 708,4688
Applied English,Digital Computer Lab 287,720
School of Biochemistry,Nuclear Engineering Lab 1452,2203
Economics Education,Veterinary Medicine Basic Sciences Building 3389,4246
