RSOname,department,expTimeComm,taggedPref
4 Paws for Ability at the University of Illinois Urbana-Champaign,Miscellaneous,5-10 hours,Service
4-H House Cooperative Sorority,Agricultural Sciences,1-3 hours,General
A Space,Miscellaneous,1-3 hours,Cultural
Acacia Fraternity,Miscellaneous,3-5 hours,Social
Academic Buzzer Team: A Quiz Bowl Organization,Miscellaneous,1-3 hours,Social
Accounting Club,Business,5-10 hours,Professional
ACHA Men’s Division II Hockey Club at the University of Illinois Urbana-Champaign,Miscellaneous,10+ hours,General
Acoustics at the University of Illinois,Fine Arts,10+ hours,Arts
ACS Polymer and Polymer Materials Science and Engineering Divisions UIUC Student Chapter,Computer Science,1-3 hours,Tech
ActGreen,Business,3-5 hours,Professional
Action Against Hunger at the University of Illinois at Urbana-Champaign,Miscellaneous,3-5 hours,Service
Acts Campus Ministry at UIUC,Miscellaneous,5-10 hours,General
Actually Neurodivergent,Miscellaneous,3-5 hours,General
Actuarial Science Club,Business,1-3 hours,Professional
Adaptive Abilities,Miscellaneous,5-10 hours,General
Adventure Club,Miscellaneous,5-10 hours,Social
Aerial Illinois Robotics,Business,5-10 hours,Professional
Aerospace Engineering Graduate Student Advisory Committee,Miscellaneous,10+ hours,General
African Cultural Association,Miscellaneous,3-5 hours,Cultural
African Students Organization,Miscellaneous,1-3 hours,General
Afrique Dance Ensemble,Kinesiology,3-5 hours,Health
Agricultural and Consumer Economics - Graduate Student Organization,Agricultural Sciences,1-3 hours,General
Airsoft at Illinois,Miscellaneous,1-3 hours,General
Albanian Student Association,Miscellaneous,1-3 hours,Cultural
Algebraic Geometry and Topology Club,Computer Science,3-5 hours,Tech
ALPFA Illinois,Business,3-5 hours,Professional
Alpha Chi Omega,Miscellaneous,1-3 hours,Social
Alpha Chi Sigma,Biology,5-10 hours,Science
Alpha Delta Phi Fraternity,Miscellaneous,10+ hours,Social
Alpha Delta Pi,Miscellaneous,5-10 hours,Social
Alpha Epsilon Delta Pre-Health Society,Kinesiology,1-3 hours,Health
Alpha Epsilon Phi Sorority,Miscellaneous,10+ hours,Social
Alpha Epsilon Pi,Miscellaneous,5-10 hours,Service
Alpha Gamma Delta,Miscellaneous,3-5 hours,Social
Alpha Investment Management Partners,Business,10+ hours,Professional
"Alpha Kappa Alpha Sorority, Incorporated. Gamma Chapter",Miscellaneous,1-3 hours,General
Alpha Kappa Delta Phi,Miscellaneous,3-5 hours,General
Alpha Kappa Psi Professional Business Fraternity,Business,10+ hours,Professional
Alpha Omega Campus Ministry,Miscellaneous,1-3 hours,General
Alpha Omega Epsilon Engineering Sorority,Miscellaneous,5-10 hours,Social
Alpha Omicron Pi,Miscellaneous,3-5 hours,Social
"Alpha Phi Alpha Fraternity, Incorporated",Miscellaneous,3-5 hours,Social
"Alpha Phi Gamma National Sorority, Inc.",Miscellaneous,1-3 hours,Social
Alpha Phi International Sorority,Miscellaneous,10+ hours,Service
Alpha Phi Omega,Miscellaneous,3-5 hours,General
"Alpha Pi Sigma Sorority, Incorporated. - Xi Chapter",Miscellaneous,10+ hours,Service
Alpha Psi Lambda,Miscellaneous,10+ hours,Cultural
Alpha Rho Chi,Computer Science,3-5 hours,Tech
"Alpha Sigma Omega Latina Sorority, Inc.",Miscellaneous,5-10 hours,Social
Alpha Sigma Phi Fraternity,Miscellaneous,1-3 hours,General
Alpha Tau Alpha slash Ag Ed Club,Agricultural Sciences,5-10 hours,General
Alpha Tau Omega: Gamma Zeta,Miscellaneous,5-10 hours,Social
Alpha Xi Delta,Miscellaneous,1-3 hours,Service
Alpha Zeta Morrow,Agricultural Sciences,10+ hours,General
Also Known As Improv ( AKA Improv ),Fine Arts,10+ hours,Arts
Altgeld Ringers,Education,1-3 hours,General
Alzheimer’s Disease and Dementia Alliance,Miscellaneous,1-3 hours,General
Amateur Artists of Illustration,Media,5-10 hours,Media
American Advertising Federation at the University of Illinois,Business,10+ hours,Professional
American Association for Aerosol Research at UIUC,Environmental Science,5-10 hours,General
"American Association of Zoo Veterinarians, Illinois Student Chapter",Veterinary Medicine,1-3 hours,General
American Cancer Society On Campus,Miscellaneous,5-10 hours,Service
American Chemical Society,Biology,1-3 hours,Science
American Choral Directors Association University of Illinois Student Chapter,Education,1-3 hours,General
American Concrete Institute,Education,5-10 hours,General
American Constitution Society,Law,5-10 hours,General
"American Fisheries Society, U of I Student Subunit",Environmental Science,1-3 hours,General
American Indian Science and Engineering Society,Environmental Science,10+ hours,General
American Institute of Aeronautics and Astronautics Student Branch,Environmental Science,10+ hours,General
American Institute of Architecture Students,Miscellaneous,10+ hours,General
American Institute of Chemical Engineers,Computer Science,3-5 hours,Tech
"American Library Association Student Chapter at the University of Illinois, Urbana-Champaign",Information Sciences,10+ hours,Science
American Marketing Association,Business,1-3 hours,Professional
American Mathematical Society Graduate Chapter,Miscellaneous,10+ hours,Service
American Medical Student Association Pre-Med,Miscellaneous,1-3 hours,Service
American Medical Women’s Association at UIUC,Kinesiology,1-3 hours,Health
"American Nuclear Society, University of Illinois Student Section",Education,10+ hours,General
American Railway Engineering and Maintenance-of-Way Association Student Chapter at UIUC,Computer Science,1-3 hours,Tech
American Red Cross Club at the University of Illinois at Urbana Champaign,Miscellaneous,10+ hours,Service
American Sign Language and Deaf Culture Club,Miscellaneous,3-5 hours,Cultural
American Society for Biochemistry and Molecular Biology Student Chapter at UIUC,Biology,3-5 hours,Science
American Society of Agricultural and Biological Engineers,Agricultural Sciences,10+ hours,General
American Society of Civil Engineers,Environmental Science,3-5 hours,General
American Society of Mechanical Engineers,Education,10+ hours,General
"American Society of the Heating, Refrigeration and Air-Conditioning Engineers",Environmental Science,5-10 hours,General
Amnesty International 124,Miscellaneous,5-10 hours,General
Among Us Club,Miscellaneous,10+ hours,General
Animal Welfare Club - Undergraduate Chapter,Miscellaneous,10+ hours,General
Arab American Association of Engineers and Architects,Miscellaneous,5-10 hours,General
Arab Student Association,Miscellaneous,1-3 hours,Cultural
Arabic Debate Student Association,Education,1-3 hours,General
Archery Club,Miscellaneous,10+ hours,General
Armenian Students’ Cultural Association,Miscellaneous,10+ hours,Cultural
Army ROTC Cadet Council,Miscellaneous,3-5 hours,General
Arnold Air Society - Jake Schaefer Squadron,Miscellaneous,1-3 hours,Service
Arpeggia,Miscellaneous,1-3 hours,General
Art Ed Student Organization,Education,5-10 hours,General
Ascend UIUC Chapter,Business,3-5 hours,Professional
Asha for Education: Urbana-Champaign,Miscellaneous,3-5 hours,Service
Asian American Association,Miscellaneous,1-3 hours,Cultural
"Asian American Coalition Combating Oppression, Racism, and Discrimination",Miscellaneous,1-3 hours,General
Asian Law Students Association,Law,3-5 hours,General
Asian Pacific American Medical Student Association,Kinesiology,10+ hours,Health
Asian Pre-Law Association,Miscellaneous,10+ hours,General
Association for Computing Machinery,Information Sciences,3-5 hours,Science
