RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
1,4 Paws for Ability at the University of Illinois Urbana-Champaign,Community Service & Philanthropy,Education,Pedagogy & Instruction
2,4-H House Cooperative Sorority,Agricultural,Community Service & Philanthropy,Social & Leisure
3,A Space,Identity & Culture,Social & Leisure,NA
4,Acacia Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
5,Academic Buzzer Team: A Quiz Bowl Organization,Social & Leisure,NA,NA
6,Accounting Club,Business,NA,NA
7,ACHA Men’s Division II Hockey Club at the University of Illinois Urbana-Champaign,Athletic & Recreation,NA,NA
8,Acoustics at the University of Illinois,Performance Arts,Social & Behavioral Sciences,Technology
9,ACS Polymer and Polymer Materials Science and Engineering Divisions UIUC Student Chapter,Technology,Engineering & Mathematics,NA
10,ActGreen,Business,Environmental & Sustainability,NA
11,Action Against Hunger at the University of Illinois at Urbana-Champaign,Community Service & Philanthropy,NA,NA
12,Acts Campus Ministry at UIUC,Faith,Religion & Spirituality,NA
13,Actually Neurodivergent,Advocacy & Activism,Identity & Culture,Social & Leisure
14,Actuarial Science Club,Business,Technology,Engineering & Mathematics
15,Adaptive Abilities,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
16,Adventure Club,Social & Leisure,NA,NA
17,Aerial Illinois Robotics,Business,Education,Pedagogy & Instruction
18,Aerospace Engineering Graduate Student Advisory Committee,Advocacy & Activism,Technology,Engineering & Mathematics
19,African Cultural Association,Identity & Culture,NA,NA
20,African Students Organization,Advocacy & Activism,Education,Pedagogy & Instruction
21,Afrique Dance Ensemble,Health & Wellness,Identity & Culture,Performance Arts
22,Agricultural and Consumer Economics - Graduate Student Organization,Agricultural,NA,NA
23,Airsoft at Illinois,Athletic & Recreation,NA,NA
24,Albanian Student Association,Identity & Culture,NA,NA
25,Algebraic Geometry and Topology Club,Technology,Engineering & Mathematics,NA
26,ALPFA Illinois,Business,Identity & Culture,NA
27,Alpha Chi Omega,Social & Leisure,Social Fraternities & Sororities,NA
28,Alpha Chi Sigma,Life & Physical Sciences,NA,NA
29,Alpha Delta Phi Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
30,Alpha Delta Pi,Social Fraternities & Sororities,NA,NA
31,Alpha Epsilon Delta Pre-Health Society,Health & Wellness,NA,NA
32,Alpha Epsilon Phi Sorority,Social & Leisure,Social Fraternities & Sororities,NA
33,Alpha Epsilon Pi,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
34,Alpha Gamma Delta,Social & Leisure,Social Fraternities & Sororities,NA
35,Alpha Investment Management Partners,Business,Information & Data Sciences,Technology
36,"Alpha Kappa Alpha Sorority, Incorporated. Gamma Chapter",Advocacy & Activism,Business,Community Service & Philanthropy
37,Alpha Kappa Delta Phi,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
38,Alpha Kappa Psi Professional Business Fraternity,Business,NA,NA
39,Alpha Omega Campus Ministry,Faith,Religion & Spirituality,NA
40,Alpha Omega Epsilon Engineering Sorority,Social Fraternities & Sororities,Technology,Engineering & Mathematics
41,Alpha Omicron Pi,Social & Leisure,Social Fraternities & Sororities,NA
42,"Alpha Phi Alpha Fraternity, Incorporated",Social & Leisure,Social Fraternities & Sororities,NA
43,"Alpha Phi Gamma National Sorority, Inc.",Social & Leisure,Social Fraternities & Sororities,~ Affiliation: Asian American Cultural Center (AACC)
44,Alpha Phi International Sorority,Community Service & Philanthropy,Social Fraternities & Sororities,NA
45,Alpha Phi Omega,Advocacy & Activism,Community Service & Philanthropy,Environmental & Sustainability
46,"Alpha Pi Sigma Sorority, Incorporated. - Xi Chapter",Community Service & Philanthropy,Identity & Culture,Social & Leisure
47,Alpha Psi Lambda,Identity & Culture,Social & Leisure,Social Fraternities & Sororities
48,Alpha Rho Chi,Technology,Engineering & Mathematics,NA
49,"Alpha Sigma Omega Latina Sorority, Inc.",Social Fraternities & Sororities,NA,NA
50,Alpha Sigma Phi Fraternity,Advocacy & Activism,Community Service & Philanthropy,Health & Wellness
51,Alpha Tau Alpha slash Ag Ed Club,Agricultural,Education,Pedagogy & Instruction
52,Alpha Tau Omega: Gamma Zeta,Social & Leisure,Social Fraternities & Sororities,NA
53,Alpha Xi Delta,Community Service & Philanthropy,Social & Leisure,NA
54,Alpha Zeta Morrow,Agricultural,Honorary,NA
55,Also Known As Improv ( AKA Improv ),Performance Arts,Social & Leisure,NA
56,Altgeld Ringers,Education,Pedagogy & Instruction,Performance Arts
57,Alzheimer’s Disease and Dementia Alliance,Advocacy & Activism,Community Service & Philanthropy,Education
58,Amateur Artists of Illustration,Media Arts,Social & Leisure,NA
59,American Advertising Federation at the University of Illinois,Business,Honorary,Information & Data Sciences
60,American Association for Aerosol Research at UIUC,Environmental & Sustainability,Technology,Engineering & Mathematics
61,"American Association of Zoo Veterinarians, Illinois Student Chapter",Veterinary,NA,NA
62,American Cancer Society On Campus,Community Service & Philanthropy,NA,NA
63,American Chemical Society,Life & Physical Sciences,NA,NA
64,American Choral Directors Association University of Illinois Student Chapter,Education,Pedagogy & Instruction,Performance Arts
65,American Concrete Institute,Education,Pedagogy & Instruction,NA
66,American Constitution Society,Law,NA,NA
67,"American Fisheries Society, U of I Student Subunit",Environmental & Sustainability,Life & Physical Sciences,NA
68,American Indian Science and Engineering Society,Environmental & Sustainability,Identity & Culture,Technology
69,American Institute of Aeronautics and Astronautics Student Branch,Environmental & Sustainability,Technology,Engineering & Mathematics
70,American Institute of Architecture Students,Advocacy & Activism,Community Service & Philanthropy,Social & Leisure
71,American Institute of Chemical Engineers,Technology,Engineering & Mathematics,NA
72,"American Library Association Student Chapter at the University of Illinois, Urbana-Champaign",Information & Data Sciences,NA,NA
73,American Marketing Association,Business,NA,NA
74,American Mathematical Society Graduate Chapter,Community Service & Philanthropy,Education,Pedagogy & Instruction
75,American Medical Student Association Pre-Med,Community Service & Philanthropy,Health & Wellness,NA
76,American Medical Women’s Association at UIUC,Health & Wellness,NA,NA
77,"American Nuclear Society, University of Illinois Student Section",Education,Pedagogy & Instruction,Environmental & Sustainability
78,American Railway Engineering and Maintenance-of-Way Association Student Chapter at UIUC,Technology,Engineering & Mathematics,NA
79,American Red Cross Club at the University of Illinois at Urbana Champaign,Community Service & Philanthropy,NA,NA
80,American Sign Language and Deaf Culture Club,Identity & Culture,NA,NA
81,American Society for Biochemistry and Molecular Biology Student Chapter at UIUC,Life & Physical Sciences,NA,NA
82,American Society of Agricultural and Biological Engineers,Agricultural,Environmental & Sustainability,Technology
83,American Society of Civil Engineers,Environmental & Sustainability,Technology,Engineering & Mathematics
84,American Society of Mechanical Engineers,Education,Pedagogy & Instruction,Technology
85,"American Society of the Heating, Refrigeration and Air-Conditioning Engineers",Environmental & Sustainability,Technology,Engineering & Mathematics
86,Amnesty International 124,Advocacy & Activism,Community Service & Philanthropy,International
87,Among Us Club,Advocacy & Activism,NA,NA
88,Animal Welfare Club - Undergraduate Chapter,NA,NA,NA
89,Arab American Association of Engineers and Architects,Honorary,Identity & Culture,Technology
90,Arab Student Association,Identity & Culture,NA,NA
91,Arabic Debate Student Association,Education,Pedagogy & Instruction,International
92,Archery Club,Athletic & Recreation,NA,NA
93,Armenian Students’ Cultural Association,Identity & Culture,Social & Leisure,NA
94,Army ROTC Cadet Council,Veteran & Military Connected,NA,NA
95,Arnold Air Society - Jake Schaefer Squadron,Community Service & Philanthropy,Honorary,Veteran & Military Connected
96,Arpeggia,Advocacy & Activism,Business,Community Service & Philanthropy
97,Art Ed Student Organization,Education,Pedagogy & Instruction,NA
98,Ascend UIUC Chapter,Business,NA,NA
99,Asha for Education: Urbana-Champaign,Community Service & Philanthropy,~ Affiliation: Asian American Cultural Center (AACC),NA
100,Asian American Association,Identity & Culture,Social & Leisure,~ Affiliation: Asian American Cultural Center (AACC)
101,"Asian American Coalition Combating Oppression, Racism, and Discrimination",Advocacy & Activism,~ Affiliation: Asian American Cultural Center (AACC),NA
102,Asian Law Students Association,Law,NA,NA
103,Asian Pacific American Medical Student Association,Health & Wellness,NA,NA
104,Asian Pre-Law Association,Advocacy & Activism,Education,Pedagogy & Instruction
105,Association for Computing Machinery,Information & Data Sciences,Technology,Engineering & Mathematics
106,Association for Quantitative Trading Education,Business,Information & Data Sciences,Technology
107,Association of Food Technologists,Agricultural,Business,Education
108,Association of Minorities in Political Science,Ideology & Politics,Social & Leisure,NA
109,Association of Minority Mental Health Practitioners,Health & Wellness,Identity & Culture,Social & Behavioral Sciences
110,Association of The Liberal Arts and Sciences,International,Life & Physical Sciences,Social & Behavioral Sciences
111,Astrobiology Club,Life & Physical Sciences,NA,NA
112,Astronomical Society at the University of Illinois at Urbana-Champaign,Life & Physical Sciences,Social & Leisure,NA
113,AWS Cloud Club - UIUC,Information & Data Sciences,Technology,Engineering & Mathematics
114,AxisMED,Health & Wellness,Technology,Engineering & Mathematics
115,Azerbaijan Student Association at UIUC,Identity & Culture,International,NA
116,Badmaash Company,Identity & Culture,International,Performance Arts
117,Badminton For Fun,Athletic & Recreation,NA,NA
